"city_ID","most_recent_observation","most_recent_observation_type","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","native","greater_metro","tree_ID","planted_date","retired_date","common_name","location_type","zipcode","neighborhood","location_name","ward","district","overhead_utility","diameter_breast_height_CM","condition","height_M","height_binned_M","diameter_breast_height_binned_CM","percent_population"
34183,2016,"inventory_date","Quercus lyrata","Atlanta","Georgia",-84.445441,33.733632,"1800 Beecher St","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40521,2018,"inventory_date","Quercus lyrata","Atlanta","Georgia",-84.446993,33.733647,"1800 Beecher St","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23412,2013,"inventory_date","Parrotia persica","Atlanta","Georgia",-84.482923,33.804399,"1800 James Jackson Pkwy","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23413,2013,"inventory_date","Parrotia persica","Atlanta","Georgia",-84.482896,33.804459,"1800 James Jackson Pkwy","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23414,2013,"inventory_date","Parrotia persica","Atlanta","Georgia",-84.482873,33.804503,"1800 James Jackson Pkwy","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23415,2013,"inventory_date","Koelreuteria paniculata","Atlanta","Georgia",-84.481908,33.806097,"1800 James Jackson Pkwy","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23416,2013,"inventory_date","Koelreuteria paniculata","Atlanta","Georgia",-84.481873,33.80617,"1800 James Jackson Pkwy","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23417,2013,"inventory_date","Koelreuteria paniculata","Atlanta","Georgia",-84.48185,33.806224,"1800 James Jackson Pkwy","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23418,2013,"inventory_date","Koelreuteria paniculata","Atlanta","Georgia",-84.480883,33.807669,"1800 James Jackson Pkwy","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27643,2014,"inventory_date","Parrotia persica","Atlanta","Georgia",-84.482552,33.804997,"1800 James Jackson Pkwy","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27644,2014,"inventory_date","Parrotia persica","Atlanta","Georgia",-84.482565,33.804969,"1800 James Jackson Pkwy","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27645,2014,"inventory_date","Parrotia persica","Atlanta","Georgia",-84.482577,33.804943,"1800 James Jackson Pkwy","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27646,2014,"inventory_date","Parrotia persica","Atlanta","Georgia",-84.482586,33.804924,"1800 James Jackson Pkwy","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27647,2014,"inventory_date","Koelreuteria paniculata","Atlanta","Georgia",-84.481172,33.807187,"1800 James Jackson Pkwy","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8171,2005,"inventory_date",NA,"Atlanta","Georgia",-84.436948,33.803626,"1800 Marietta Blvd","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8172,2005,"inventory_date",NA,"Atlanta","Georgia",-84.436928,33.803543,"1800 Marietta Blvd","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8173,2005,"inventory_date",NA,"Atlanta","Georgia",-84.436875,33.803439,"1800 Marietta Blvd","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32643,2016,"inventory_date","Lagerstroemia indica","Atlanta","Georgia",-84.528649,33.709609,"1800 Niskey Lake Trl","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32644,2016,"inventory_date","Lagerstroemia indica","Atlanta","Georgia",-84.528668,33.709653,"1800 Niskey Lake Trl","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
